"prev","sens","spec","truepos","falsepos","trueneg","falseneg","pos","neg","ppv","npv"
0,0.786,0.906,0,0.094,0.906,0,0.094,0.906,0,1
0.01,0.786,0.906,0.00786,0.09306,0.89694,0.00094,0.10092,0.89908,0.0778834720570749,0.997619789117765
0.02,0.786,0.906,0.01572,0.09212,0.88788,0.00188,0.10784,0.89216,0.145771513353116,0.995202654232425
0.03,0.786,0.906,0.02358,0.09118,0.87882,0.00282,0.11476,0.88524,0.205472289996515,0.992747729429307
0.04,0.786,0.906,0.03144,0.09024,0.86976,0.00376,0.12168,0.87832,0.258382642998028,0.990254121504691
0.05,0.786,0.906,0.0393,0.0893,0.8607,0.0047,0.1286,0.8714,0.305598755832037,0.987720908882258
0.06,0.786,0.906,0.04716,0.08836,0.85164,0.00564,0.13552,0.86448,0.347992916174734,0.985147140477512
0.07,0.786,0.906,0.05502,0.08742,0.84258,0.00658,0.14244,0.85756,0.386267902274642,0.982531834507206
0.08,0.786,0.906,0.06288,0.08648,0.83352,0.00752,0.14936,0.85064,0.420996250669523,0.979873977240666
0.09,0.786,0.906,0.07074,0.08554,0.82446,0.00846,0.15628,0.84372,0.452649091374456,0.97717252168966
0.1,0.786,0.906,0.0786,0.0846,0.8154,0.0094,0.1632,0.8368,0.481617647058824,0.97442638623327
0.11,0.786,0.906,0.08646,0.08366,0.80634,0.01034,0.17012,0.82988,0.508229485069363,0.971634453173953
0.12,0.786,0.906,0.09432,0.08272,0.79728,0.01128,0.17704,0.82296,0.532760957975599,0.968795567220764
0.13,0.786,0.906,0.10218,0.08178,0.78822,0.01222,0.18396,0.81604,0.555446836268754,0.965908533895397
0.14,0.786,0.906,0.11004,0.08084,0.77916,0.01316,0.19088,0.80912,0.576487845766974,0.962972117856437
0.15,0.786,0.906,0.1179,0.0799,0.7701,0.0141,0.1978,0.8022,0.596056622851365,0.959985041136874
0.16,0.786,0.906,0.12576,0.07896,0.76104,0.01504,0.20472,0.79528,0.614302461899179,0.956945981289609
0.17,0.786,0.906,0.13362,0.07802,0.75198,0.01598,0.21164,0.78836,0.631355131355131,0.953853569435283
0.18,0.786,0.906,0.14148,0.07708,0.74292,0.01692,0.21856,0.78144,0.647327964860908,0.950706388206388
0.19,0.786,0.906,0.14934,0.07614,0.73386,0.01786,0.22548,0.77452,0.662320383182544,0.94750296958116
0.2,0.786,0.906,0.1572,0.0752,0.7248,0.0188,0.2324,0.7676,0.676419965576592,0.944241792600313
0.21,0.786,0.906,0.16506,0.07426,0.71574,0.01974,0.23932,0.76068,0.689704161791743,0.940921280959142
0.22,0.786,0.906,0.17292,0.07332,0.70668,0.02068,0.24624,0.75376,0.70224171539961,0.937539800466992
0.23,0.786,0.906,0.18078,0.07238,0.69762,0.02162,0.25316,0.74684,0.714093853689367,0.934095656365487
0.24,0.786,0.906,0.18864,0.07144,0.68856,0.02256,0.26008,0.73992,0.725315287603814,0.93058709049627
0.25,0.786,0.906,0.1965,0.0705,0.6795,0.0235,0.267,0.733,0.735955056179775,0.927012278308322
0.26,0.786,0.906,0.20436,0.06956,0.67044,0.02444,0.27392,0.72608,0.746057242990654,0.923369325694138
